POLICY,TYPE,PACKAGE,PATH,NOTES
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/sw_method_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm200/gr/sw_nonctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/acr/bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/acr/ucode_load.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/acr/ucode_unload.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/fecs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/fecs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/gpccs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/gpccs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/sw_bundle_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/sw_ctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/sw_method_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm204/gr/sw_nonctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/acr/bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/acr/ucode_load.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/acr/ucode_unload.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/fecs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/fecs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/gpccs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/gpccs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/sw_bundle_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/sw_ctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/sw_method_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm206/gr/sw_nonctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/acr/bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/acr/ucode_load.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/fecs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/fecs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/gpccs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/gpccs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/sw_bundle_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/sw_ctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/sw_method_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/gr/sw_nonctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/pmu/desc.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/pmu/image.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gm20b/pmu/sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/acr/bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/acr/ucode_load.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/acr/ucode_unload.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/fecs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/fecs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/gpccs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/gpccs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/sw_bundle_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/sw_ctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/sw_method_init.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp100/gr/sw_nonctx.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/acr/bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/acr/ucode_load.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/acr/ucode_unload.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/acr/unload_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/gr/fecs_data.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/gr/fecs_inst.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/gp102/gr/gpccs_bl.bin",
