  Size Package
1.1MiB scid-spell-data
1.1MiB fortunes-it
1.1MiB xsol
1.1MiB fortunes-cs
1.1MiB circuslinux-data
1.0MiB xteddy
1008KiB blobby-data
1004KiB wing
992KiB gnome-tetravex
965KiB uhexen2-common
956KiB armagetronad-dedicated
931KiB heroes-sound-tracks
922KiB ballz
919KiB fortunes-es-off
915KiB connectagram-data
907KiB fortunes
903KiB zangband-data
894KiB crafty-books-small
890KiB meritous-data
878KiB fortunes-es
876KiB cappuccino
856KiB dossizola-data
845KiB leela-zero
832KiB xpuzzles
825KiB fortunes-fr
801KiB amphetamine-data
800KiB billard-gl
796KiB xsystem35
786KiB polygen
783KiB mirrormagic-data
759KiB gnome-chess
756KiB atomix
749KiB xgammon
727KiB shogivar
725KiB grhino-data
723KiB fizmo-sdl2
719KiB animals
713KiB lgeneral-data
710KiB xcowsay
706KiB fizmo-ncursesw
699KiB slashem-common
681KiB xqf
678KiB fortunes-it-off
676KiB tinymux
669KiB gnome-robots
667KiB slimevolley-data
660KiB fortunes-br
655KiB auralquiz
633KiB tworld-data
618KiB nethack-common
617KiB gnome-breakout
613KiB fortunes-eo
613KiB fortunes-eo-ascii
613KiB fortunes-eo-iso3
612KiB geki2
601KiB shogivar-data
600KiB geki3
600KiB fortunes-bg
597KiB ddnet-tools
594KiB ioquake3-server
587KiB xblast-tnt-images
581KiB fortunes-bofh-excuses
578KiB gnome-sudoku
574KiB fortunes-ga
570KiB iagno
567KiB fortune-mod
562KiB four-in-a-row
561KiB acm
561KiB alex4-data
557KiB gtkballs
555KiB cultivation
552KiB sjaakii
550KiB wing-data
548KiB fltk1.1-games
540KiB gav-themes
538KiB asciijump
534KiB netmaze
534KiB prboom-plus-game-server
522KiB nikwi-data
518KiB kawari8
515KiB xevil
507KiB gnome-mines
490KiB freegish-data
485KiB quarry
481KiB tetzle
474KiB transcend
462KiB lincity
460KiB colossal-cave-adventure
434KiB billard-gl-data
429KiB atomix-data
424KiB xmahjongg
424KiB bastet
407KiB ufoai-common
394KiB yamagi-quake2-core
392KiB zoom-player
390KiB macopix
390KiB fltk1.3-games
386KiB play.it
378KiB crafty
377KiB moria
365KiB mancala
364KiB lierolibre-data
361KiB pioneers-console
361KiB xfishtank
361KiB gbatnav
360KiB moon-buggy
347KiB osmose-emulator
345KiB gnome-mastermind
345KiB gamazons
336KiB littlewizard
333KiB galois
329KiB mgba-common
329KiB heroes-sound-effects
321KiB starvoyager-data
318KiB frotz
308KiB fruit
303KiB cutemaze
300KiB omega-rpg
293KiB dopewars-data
291KiB heroes-data
284KiB phalanx
283KiB mah-jong
274KiB xfrisk
271KiB armagetronad-common
261KiB xpat2
261KiB asylum-data
254KiB peg-solitaire
251KiB gnuchess
248KiB mupen64plus-data
247KiB tf
244KiB gfpoken
243KiB colorcode
243KiB fairy-stockfish
241KiB gnushogi
240KiB trader
239KiB gtetrinet
237KiB gtkatlantic
236KiB peg-e
235KiB monopd
231KiB oneko
230KiB sauerbraten-server
229KiB pybik-bin
225KiB cgoban
224KiB hexalate
223KiB xgalaga
